iter	Passed	Remaining
480	1828	1972
481	1832	1968
482	1835	1964
483	1839	1960
484	1842	1956
485	1846	1952
486	1850	1948
487	1853	1944
488	1857	1940
489	1860	1936
490	1864	1932
491	1867	1928
492	1871	1924
493	1874	1920
494	1878	1915
495	1881	1912
496	1885	1907
497	1888	1903
498	1892	1899
499	1895	1895
500	1899	1892
501	1903	1887
502	1906	1883
503	1910	1880
504	1914	1876
505	1918	1872
506	1921	1868
507	1925	1864
508	1928	1860
509	1932	1856
510	1935	1852
511	1939	1848
512	1942	1844
513	1946	1840
514	1949	1836
515	1953	1832
516	1956	1827
517	1960	1824
518	1963	1819
519	1967	1816
520	1971	1812
521	1974	1808
522	1978	1804
523	1982	1800
524	1986	1797
525	1990	1793
526	1994	1789
527	1997	1786
528	2001	1782
529	2005	1778
530	2008	1774
531	2012	1770
532	2015	1765
533	2018	1761
534	2022	1757
535	2025	1753
536	2028	1749
537	2032	1745
538	2035	1741
539	2038	1736
540	2042	1732
541	2045	1728
542	2048	1724
543	2052	1720
544	2056	1716
545	2059	1712
546	2062	1708
547	2066	1704
548	2070	1700
549	2073	1696
550	2077	1692
551	2080	1688
552	2084	1685
553	2088	1681
554	2091	1677
555	2095	1673
556	2098	1668
557	2101	1664
558	2104	1660
559	2108	1656
560	2111	1652
561	2114	1648
562	2117	1643
563	2121	1639
564	2124	1635
565	2128	1631
566	2131	1627
567	2134	1623
568	2138	1619
569	2141	1615
570	2144	1611
571	2147	1607
572	2151	1603
573	2154	1599
574	2158	1595
575	2161	1590
576	2164	1586
577	2168	1582
578	2171	1578
579	2174	1574
580	2178	1570
581	2181	1566
582	2185	1562
583	2188	1558
584	2191	1554
585	2194	1550
586	2198	1546
587	2201	1542
588	2205	1538
589	2208	1534
590	2211	1530
591	2215	1526
592	2218	1522
593	2222	1518
594	2225	1514
595	2228	1510
596	2231	1506
597	2235	1502
598	2238	1498
599	2241	1494
600	2245	1490
601	2248	1486
602	2252	1482
603	2255	1478
604	2258	1474
605	2261	1470
606	2265	1466
607	2268	1462
608	2272	1458
609	2275	1454
610	2278	1450
611	2282	1446
612	2285	1442
613	2288	1438
614	2292	1434
615	2295	1430
616	2298	1426
617	2301	1422
618	2305	1418
619	2308	1414
620	2311	1410
621	2315	1406
622	2318	1402
623	2321	1398
624	2325	1395
625	2328	1391
626	2331	1387
627	2334	1383
628	2338	1379
629	2341	1375
630	2344	1371
631	2348	1367
632	2351	1363
633	2354	1359
634	2357	1355
635	2361	1351
636	2364	1347
637	2367	1343
638	2370	1339
639	2374	1335
640	2377	1331
641	2380	1327
642	2384	1323
643	2387	1319
644	2390	1315
645	2393	1311
646	2397	1307
647	2400	1303
648	2403	1299
649	2406	1296
650	2410	1292
651	2413	1288
652	2416	1284
653	2420	1280
654	2423	1276
655	2426	1272
656	2430	1268
657	2433	1264
658	2436	1260
659	2439	1256
660	2443	1253
661	2446	1249
662	2449	1245
663	2453	1241
664	2456	1237
665	2459	1233
666	2463	1229
667	2466	1225
668	2469	1221
669	2472	1218
670	2476	1214
671	2479	1210
672	2483	1206
673	2486	1202
674	2489	1198
675	2493	1194
676	2496	1191
677	2499	1187
678	2503	1183
679	2506	1179
680	2510	1175
681	2513	1171
682	2516	1168
683	2520	1164
684	2523	1160
685	2526	1156
686	2530	1152
687	2533	1148
688	2536	1145
689	2540	1141
690	2543	1137
691	2546	1133
692	2549	1129
693	2553	1125
694	2556	1121
695	2559	1118
696	2563	1114
697	2566	1110
698	2569	1106
699	2572	1102
700	2576	1098
701	2579	1095
702	2582	1091
703	2586	1087
704	2589	1083
705	2592	1079
706	2596	1075
707	2599	1072
708	2602	1068
709	2605	1064
710	2609	1060
711	2612	1056
712	2615	1052
713	2619	1049
714	2622	1045
715	2625	1041
716	2630	1038
717	2634	1034
718	2637	1030
719	2641	1027
720	2644	1023
721	2647	1019
722	2650	1015
723	2653	1011
724	2657	1007
725	2660	1004
726	2663	1000
727	2667	996
728	2670	992
729	2673	988
730	2676	985
731	2680	981
732	2683	977
733	2686	973
734	2690	969
735	2693	966
736	2696	962
737	2699	958
738	2703	954
739	2706	950
740	2709	947
741	2712	943
742	2716	939
743	2719	935
744	2722	931
745	2726	928
746	2729	924
747	2732	920
748	2736	916
749	2739	913
750	2742	909
751	2745	905
752	2749	901
753	2752	898
754	2756	894
755	2759	890
756	2762	886
757	2766	883
758	2769	879
759	2773	875
760	2776	871
761	2780	868
762	2783	864
763	2786	860
764	2790	857
765	2793	853
766	2797	849
767	2800	845
768	2803	842
769	2807	838
770	2810	834
771	2813	831
772	2817	827
773	2820	823
774	2823	819
775	2826	815
776	2830	812
777	2833	808
778	2836	804
779	2840	801
780	2843	797
781	2846	793
782	2850	789
783	2853	786
784	2857	782
785	2860	778
786	2863	775
787	2867	771
788	2870	767
789	2873	763
790	2877	760
791	2880	756
792	2884	752
793	2887	749
794	2890	745
795	2893	741
796	2897	737
797	2900	734
798	2903	730
799	2907	726
800	2910	723
801	2914	719
802	2917	715
803	2921	712
804	2924	708
805	2928	704
806	2932	701
807	2935	697
808	2939	693
809	2942	690
810	2946	686
811	2949	682
812	2953	679
813	2956	675
814	2960	671
815	2963	668
816	2966	664
817	2970	660
818	2973	657
819	2976	653
820	2980	649
821	2983	646
822	2986	642
823	2989	638
824	2993	634
825	2996	631
826	2999	627
827	3002	623
828	3006	620
829	3009	616
830	3013	612
831	3016	609
832	3020	605
833	3023	601
834	3026	598
835	3030	594
836	3033	590
837	3037	587
838	3040	583
839	3043	579
840	3047	576
841	3050	572
842	3053	568
843	3057	565
844	3060	561
845	3064	557
846	3067	554
847	3071	550
848	3075	546
849	3078	543
850	3082	539
851	3085	536
852	3089	532
853	3093	528
854	3096	525
855	3100	521
856	3103	517
857	3107	514
858	3110	510
859	3113	506
860	3117	503
861	3120	499
862	3124	495
863	3127	492
864	3130	488
865	3133	484
866	3138	481
867	3141	477
868	3145	474
869	3148	470
870	3152	466
871	3156	463
872	3159	459
873	3163	456
874	3166	452
875	3170	448
876	3173	445
877	3177	441
878	3180	437
879	3184	434
880	3187	430
881	3191	426
882	3194	423
883	3197	419
884	3201	416
885	3205	412
886	3208	408
887	3211	405
888	3215	401
889	3218	397
890	3221	394
891	3225	390
892	3228	386
893	3231	383
894	3234	379
895	3238	375
896	3241	372
897	3244	368
898	3248	364
899	3251	361
900	3254	357
901	3258	353
902	3261	350
903	3264	346
904	3268	343
905	3271	339
906	3275	335
907	3278	332
908	3281	328
909	3285	324
910	3288	321
911	3291	317
912	3294	313
913	3298	310
914	3301	306
915	3304	303
916	3307	299
917	3311	295
918	3314	292
919	3317	288
920	3321	284
921	3324	281
922	3327	277
923	3331	273
924	3334	270
925	3337	266
926	3340	263
927	3344	259
928	3347	255
929	3350	252
930	3354	248
931	3357	244
932	3360	241
933	3364	237
934	3367	234
935	3370	230
936	3374	226
937	3377	223
938	3380	219
939	3383	215
940	3387	212
941	3390	208
942	3393	205
943	3397	201
944	3400	197
945	3403	194
946	3407	190
947	3410	187
948	3413	183
949	3417	179
950	3420	176
951	3424	172
952	3427	169
953	3431	165
954	3434	161
955	3438	158
956	3441	154
957	3445	151
958	3448	147
959	3452	143
960	3455	140
961	3459	136
962	3463	133
963	3466	129
964	3470	125
965	3473	122
966	3477	118
967	3480	115
968	3484	111
969	3487	107
970	3491	104
971	3494	100
972	3498	97
973	3501	93
974	3505	89
975	3509	86
976	3512	82
977	3516	79
978	3519	75
979	3523	71
980	3526	68
981	3530	64
982	3533	61
983	3536	57
984	3540	53
985	3543	50
986	3546	46
987	3550	43
988	3553	39
989	3556	35
990	3559	32
991	3563	28
992	3566	25
993	3569	21
994	3573	17
995	3576	14
996	3579	10
997	3583	7
998	3586	3
999	3589	0
